title,author,link,poem,audio
"A Anne, pour lire ses épigrammes",Clément MAROT,https://wheatoncollege.edu/vive-voix/titres//anne-pour-lire-ses-pigrammes/,"Anne, ma soeur, sur ces miens Epigrammes
Jette tes yeulx doulcement regardans;
Et en lisant, si d’amour ne t’enflammes,
A tout le moins ne mesprise les flammes
Qui pour t’amour luysent icy dedans.
dit par Gilles-Claude THERIAULT
Clément MAROT (poèmes tout courts)
 
",https://wheatoncollege.edu/wp-content/uploads/2012/01/aannepourlire.mp3
"A Maistre Grenouille, poète ignorant",Clément MAROT,https://wheatoncollege.edu/vive-voix/titres//maistre-grenouille-pote-ignorant/,"Bien ressembles à la grenouille:
Non pas que tu sois aquatique;
Mais comme en l’eau elle barbouille,
Si fais tu en l’art poëtique.
Clément MAROT> (poèmes tout courts)
",https://wheatoncollege.edu/wp-content/uploads/2012/01/maitregrenouille.mp3
A une passante,Charles BAUDELAIRE,https://wheatoncollege.edu/vive-voix/titres//une-passante/,"La rue assourdissante autour de moi hurlait.
Longue, mince, en grand deuil, douleur majestueuse,
Une femme passa, d’une main fastueuse
Soulevant, balancant le feston et l’ourlet ;
Agile et noble, avec sa jambe de statue.
Moi, je buvais, crispé comme un extravagant,
Dans son oeil, ciel livide où germe l’ouragan,
La douceur qui fascine et le plaisir qui tue.
Un éclair… puis la nuit ! – Fugitive beauté
Dont le regard m’a fait soudainement renaître,
Ne te verrai-je plus que dans l’éternité ?
Ailleurs, bien loin d’ici ! trop tard ! jamais peut-étre !
Car j’ignore où tu fuis, tu ne sais où je vais,
O toi que j’eusse aimée, ô toi qui le savais !
dit par Louis JOURDAN
Charles BAUDELAIRE (Les Fleurs du mal, 1857)
",https://wheatoncollege.edu/wp-content/uploads/2011/07/passante.mp3
Adieu aux Dames de la Court au Mois d’Octobre 1537,Clément MAROT,https://wheatoncollege.edu/vive-voix/titres//adieu-aux-dames-de-la-court-au-mois-doctobre-1537/,"Adieu la Court, adieu les dames,
Adieu les filles et les femmes,
Adieu vous dy pour quelque temps,
Adieu vos plaisans passetemps;
Adieu le bal, adieu la dance,
Adieu mesure, adieu cadence,
Tabourins, haulboys, violons,
Puis qu’à la guerre nous allons.
Adieu donc les belles, adieu,
Adieu Cupido vostre Dieu,
Adieu ses fleches et flambeaux.
Adieu vos serviteurs tant beaulx,
Tant polliz et tant dameretz :
O comment vous les traicterez,
Ceulx qui vous servent à ceste heure !
Or adieu quiconque demeure,
Adieu laquais, et le vallet,
Adieu la torche et le mulet.
Adieu monsieur qui se retire
Navré de l’amoureux martyre,
Qui la nuict sans dormir sera,
Mais en ses amours pensera.
Adieu le bon jour du matin,
Et le blanc et le dur tetin
De la belle qui n’est pas preste;
Adieu une autre qui s’enqueste
S’il est jour ou non là dedans.
Adieu les signes evidens
Que l’un est trop mieulx retenu
Que l’autre n’est le bien venu.
Adieu qui n’est aymé de nulle,
Et ne ser que tenir la mule.
Adieu festes, adieu banquetz,
Adieu devises et caquetz,
Où plus y a de beau langage
Que de serviette d’ouvrage,
Et moins vraye affection,
Que de dissimulation.
Adieu les regardz gracieux,
Messagers des cueurs soucieux;
Adieu les profondes pensées,
Satisfaictes ou offensées :
Adieu les armonieux sons
De rondeaulx, dizains et chansons;
Adieu, piteux departement,
Adieu regretz, adieu tourment,
Adieu la lettre, adieu le page,
Adieu la court et l’equipage,
Adieu l’amytié si loyalle,
Qu’on la pourroit dire royalle,
Estant gardée en ferme foy
Par ferme cueur digne de roy.
Mais adieu peu d’amour semblable
Et beaucoup plus de variable.
Adieu celle qui se contente,
De qui l’honnesteté presente,
Et les vertuz dont elle herite,
Recompensent bien son merite.
Adieu les deux proches parentes,
Pleines de graces apparentes
Dont l’une a ce qu’elle preten,
Et l’autre non ce qu’elle attend.
Adieu les cueurs uniz ensemble,
A qui l’on faict tort, ce me semble,
Qu’on ne donne fin amyable
A leur fermeté si louable.
Adieu celle qui tend au poinct
A veoir un qui n’y pense point,
Et qui reffuz ne feroit mye
D’estre sa femme en lieu d’amye.
Adieu à qui gueres ne chault
Car elle sçait tresbien l’usage
De changer souvent son visage;
Adieu, amyable autant qu’elle,
Celle que maistresse j’appelle.
Adieu l’esperance ennuyeuse
Où vit la belle et gracieuse,
Qui par ses secrettes douleurs
En a prins les pasles couleurs;
Adieu l’autre nouvelle pasle,
De qui la santé gist au masle;
Adieu la triste que la mort
Cent foys le jour poinct et remort.
Adieu ma mye la derniere,
En vertuz et beauté premiere;
Je vous pry me rendre à present
Le cueur dont je vous feiz present,
Pour en la guerre, où il faust estre,
En faire service à mon maistre.
Or quand de vous se souviendra,
L’aiguillon d’honneur l’espoindra
Aux armes et vertueux faict.
Et s’il en sortoit quelque effect
Digne d’une louenge entiere,
Vous en seriez seule heritiere.
De vostre cueur donc vous souvienne
Car si Dieu veult que je revienne,
Je le rendray en ce beau lieu.
Or je fais fin à mon Adieu.
dit par Maria CASARÈS (abrégé)
Clément MAROTEpistres
",https://wheatoncollege.edu/wp-content/uploads/2011/01/cassandre.mp3
Adieux à la mer,Alphonse de LAMARTINE,https://wheatoncollege.edu/vive-voix/titres//adieux-la-mer/,"Murmure autour de ma nacelle,
Douce mer dont les flots chéris,
Ainsi qu’une amante fidèle,
Jettent une plainte éternelle
Sur ces poétiques débris.
Que j’aime à flotter sur ton onde,
A l’heure où du haut du rocher
L’oranger, la vigne féconde,
Versent sur ta vague profonde
Une ombre propice au nocher!
Souvent, dans ma barque sans rame,
Me confiant à ton amour,
Comme pour assoupir mon âme,
Je ferme au branle de ta lame
Mes regards fatigués du jour.
Comme un coursier souple et docile
Dont on laisse flotter le mors,
Toujours, vers quelque frais asile,
Tu pousses ma barque fragile
Avec l’écume de tes bords.
Ah! berce, berce, berce encore,
Berce pour la dernière fois,
Berce cet enfant qui t’adore,
Et qui depuis sa tendre aurore
N’a rêvé que l’onde et les bois!
Le Dieu qui décora le monde
De ton élément gracieux,
Afin qu’ici tout se réponde,
Fit les cieux pour briller sur l’onde,
L’onde pour réfléchir les cieux.
Aussi pur que dans ma paupière,
Le jour pénètre ton flot pur,
Et dans ta brillante carrière
Tu sembles rouler la lumière
Avec tes flots d’or et d’azur.
Aussi libre que la pensée,
Tu brises le vaisseau des rois,
Et dans ta colère insensée,
Fidèle au Dieu qui t’a lancée,
Tu ne t’arrêtes qu’à sa voix.
De l’infini sublime image,
De flots en flots l’oeil emporté
Te suit en vain de plage en plage,
L’esprit cherche en vain ton rivage,
Comme ceux de l’éternité.
Ta voix majestueuse et douce
Fait trembler l’écho de tes bords,
Ou sur l’herbe qui te repousse,
Comme le zéphyr dans la mousse,
Murmure de mourants accords.
Que je t’aime, ô vague assouplie,
Quand, sous mon timide vaisseau,
Comme un géant qui s’humilie,
Sous ce vain poids l’onde qui plie
Me creuse un liquide berceau.
Que je t’aime quand, le zéphire
Endormi dans tes antres frais,
Ton rivage semble sourire
De voir dans ton sein qu’il admire
Flotter l’ombre de ses forêts!
Que je t’aime quand sur ma poupe
Des festons de mille couleurs,
Pendant au vent qui les découpe,
Te couronnent comme une coupe
Dont les bords sont voilés de fleurs!
Qu’il est doux, quand le vent caresse
Ton sein mollement agité,
De voir, sous ma main qui la presse,
Ta vague, qui s’enfle et s’abaisse
Comme le sein de la beauté!
Viens, à ma barque fugitive
Viens donner le baiser d’adieux;
Roule autour une voix plaintive,
Et de l’écume de ta rive
Mouille encor mon front et mes yeux.
Laisse sur ta plaine mobile
Flotter ma nacelle à son gré,
Ou sous l’antre de la sibylle,
Ou sur le tombeau de Virgile :
Chacun de tes flots m’est sacré.
Partout, sur ta rive chérie,
Où l’amour éveilla mon coeur,
Mon âme, à sa vue attendrie,
Trouve un asile, une patrie,
Et des débris de son bonheur,
Flotte au hasard : sur quelque plage
Que tu me fasses dériver,
Chaque flot m’apporte une image;
Chaque rocher de ton rivage
Me fait souvenir ou rêver…
dit par Yvonne GAUDEAU (extrait)
Alphonse de LAMARTINE(Nouvelles Méditations poétiques, 1823)
",https://wheatoncollege.edu/wp-content/uploads/2011/07/adieuxalamer.mp3
L’Albatros,Charles BAUDELAIRE,https://wheatoncollege.edu/vive-voix/titres//lalbatros/,"Souvent, pour s’amuser, les hommes d’équipage
Prennent des albatros, vastes oiseaux des mers,
Qui suivent, indolents compagnons de voyage,
Le navire glissant sur les gouffres amers.
A peine les ont-ils déposés sur les planches,
Que ces rois de l’azur, maladroits et honteux,
Laissent piteusement leurs grandes ailes blanches
Comme des avirons traîner à côté d’eux.
Ce voyageur ailé, comme il est gauche et veule !
Lui, naguère si beau, qu’il est comique et laid !
L’un agace son bec avec un brûle-gueule,
L’autre mime, en boitant, l’infirme qui volait !
Le Poète est semblable au prince des nuées
Qui hante la tempête et se rit de l’archer ;
Exilé sur le sol au milieu des huées,
Ses ailes de géant l’empêchent de marcher.
 
dit par Henri ROLLAN
dit par André NERMAN
Charles BAUDELAIRE (Les Fleurs du mal, 1857)
",https://wheatoncollege.edu/wp-content/uploads/2011/01/albatros.mp3
Alchimie du verbe (extrait,Arthur RIMBAUD,https://wheatoncollege.edu/vive-voix/titres//alchimie-du-verbe-extrait/,"Loin des oiseaux, des troupeaux, des villageoises,
Que buvais-je, à genoux dans cette bruyère
Entourée de tendres bois de noisetiers,
Dans un brouillard d’après-midi tiède et vert !
Que pouvais-je boire dans cette jeune Oise,
— Ormeaux sans voix, gazon sans fleurs, ciel couvert !–
Boire à ces gourdes jaunes, loin de ma case
Chérie? Quelque liqueur d’or qui fait suer.
Je faisais une louche enseigne d’auberge.
— Un orage vint chasser le ciel. Au soir
L’eau des bois se perdait sur les sables vierges,
Le vent de Dieu jetait des glaçons aux mares ;
Pleurant, je voyais de l’or –et ne pus boire. —
dit par Stéphane REITMAN
Arthur RIMBAUD (Une Saison en enfer, 1873)
",https://wheatoncollege.edu/wp-content/uploads/2011/01/loindesoiseaux.mp3
"Algérie, capitale Alger",Anna GREKI,https://wheatoncollege.edu/vive-voix/titres//algerie-capitale-alger/,"J’habite une ville si candide
Qu’on l’appelle Alger la Blanche
Ses maisons chaulées sont suspendues
En cascade en pain de sucre
En coquilles d’œufs brisés
En lait de lumière solaire
En éblouissante lessive passée au bleu
En dentelle en entre-deux
En plein milieu
De tout le bleu
D’une pomme bleue
Je tourne sur moi-même
Et je bats ce sucre bleu du ciel
Et je bats cette neige bleue de mer
Bâtie sur des îles battues qui furent mille
Ville audacieuse Ville démarrée
Ville marine bleu marine saline
Ville au large rapide à l’aventure
On l’appelle El Djezaïr
Comme un navire
De la compagnie Charles le Borgne
 
Anna GREKI (Algérie capitale Alger, 1963)
© Pierre Jean Oswald, 1963
",https://wheatoncollege.edu/vive-voix/auteur/greki/
Une Allée du Luxembourg,Gérard DE NERVAL,https://wheatoncollege.edu/vive-voix/titres//une-alle-du-luxembourg/,"Elle a passé, la jeune fille
Vive et preste comme un oiseau :
A la main une fleur qui brille,
A la bouche un refrain nouveau.
C’est peut-être la seule au monde
Dont le coeur au mien répondrait,
Qui venant dans ma nuit profonde
D’un seul regard l’éclaircirait !
Mais non, —ma jeunesse est finie…
Adieu, doux rayon qui m’as lui, —
Parfum, jeune fille, harmonie…
Le bonheur passait, —il a fui !
dit par André NERMAN
Gérard DE NERVAL (Odelettes, 1853)
",https://wheatoncollege.edu/wp-content/uploads/2011/01/allee.mp3
Les Alliances,Jean COCTEAU,https://wheatoncollege.edu/vive-voix/titres//les-alliances/,"Ce sont les anges qui préparent
Les boules bleues de la lessive,
Aussi les blanchisseuses lavent
A genoux dans le lavoir.
Puis tordent les ailes de linge
Puis suspendent partout des anges.
Comme l’ange et comme Jacob,
Femmes et anges se battent,
Se tirent les cheveux, les robes,
A pleines mains, à quatre pattes.
Le lavoir est un lieu cruel ;
Parfois on se démet la hanche.
Mais toujours reviennent les anges
Apporter les boules de ciel.
Batteuses d’anges, de tapis,
Prenez garde à vos alliances !
Car les anges sans surveillance
Sont pis encore que des pies.
dit par Jean MERCURE
Jean COCTEAU (Opéra, 1925-1927)
",https://wheatoncollege.edu/wp-content/uploads/2011/01/alliances.mp3
